name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
LANGE 28,,OCR - [D19],,760,0,,,760,0,760,0,0,0
LE ROYCE @ LEITH PARK,,OCR - [D19],,0,728,,,0,758,0,728,0,0
LEGEND @ JANSEN,,OCR - [D19],,1143,0,,,1143,0,1143,0,0,0
LONG HUA YUAN,,OCR - [D14],,692,0,,,692,0,692,0,0,0
LORNIE 18,,CCR - [D11],,0,1008,,,0,1008,0,1008,0,0
LOTUS VILLE,,OCR - [D15],,0,929,,,0,929,0,929,0,0
LOYANG COURT,,OCR - [D17],,772,0,,,772,0,772,0,0,0
LOYANG GREEN,,OCR - [D17],,779,0,,,779,0,779,0,0,0
LYNNSVILLE 331,,RCR - [D05],,710,832,,,713,832,710,832,0,0
LYNWOOD EIGHT,,OCR - [D13],,0,685,,,0,685,0,685,0,0
MARINE BLUE,,RCR - [D15],,0,1226,,,0,1340,0,1226,0,0
MARINE GARDEN,,OCR - [D15],,1105,0,,,1105,0,1105,0,0,0
MARLENE VILLE,,OCR - [D19],,1178,0,,,1178,0,1178,0,0,0
MATLOCK RESIDENCES,,OCR - [D13],,0,610,,,0,610,0,610,0,0
MAYFLOWER RESIDENCES,,OCR - [D20],,1135,0,,,1135,0,1135,0,0,0
MEDALLION,,OCR - [D13],,0,897,,,0,897,0,897,0,0
MEIHE GARDENS,,OCR - [D13],,687,0,,,687,0,687,0,0,0
MILFORD VILLAS,,OCR - [D13],,929,0,,,929,0,929,0,0,0
MIMOSA PARK,,OCR - [D28],,815,0,,,815,0,815,0,0,0
MONT TIMAH,,OCR - [D21],,0,853,,,0,909,0,853,0,0
MONTCLAIR @ WHITLEY,,CCR - [D11],,0,984,,,0,984,0,984,0,0
MOSELLA,,OCR - [D13],,0,612,,,0,612,0,612,0,0
MOUNT SINAI RESIDENCES,,CCR - [D10],,0,611,,,0,611,0,611,0,0
NAMLY COURT,,CCR - [D10],,1418,0,,,1418,0,1418,0,0,0
NORMANTON PARK,,RCR - [D05],,0,0,,,1498,0,1493,0,1493,0
NORTHSHORE BUNGALOWS,,OCR - [D19],,0,375,,,0,375,0,375,0,0
ONE CHILTERN,,OCR - [D13],,0,641,,,0,641,0,641,0,0
ONE LYNWOOD,,OCR - [D13],,0,688,,,0,688,0,688,0,0
ONE SURIN,,OCR - [D19],,0,897,,,0,897,0,897,0,0
OXLEY RESIDENCE,,CCR - [D09],,0,1450,,,0,1724,0,1450,0,0
PALACIO,,OCR - [D15],,0,921,,,0,944,0,921,0,0
PALM GROVE REGENCY,,OCR - [D19],,900,764,,,900,772,900,764,0,0
